Date,Open,High,Low,Close,Adj Close,Volume
2000-06-09,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-12,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-13,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-14,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-15,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-16,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-19,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-20,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-21,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-22,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-23,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-26,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-27,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-28,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-29,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-06-30,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-03,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-04,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-05,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-06,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-07,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-10,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-11,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-12,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-13,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-14,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-17,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-18,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-19,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-20,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-21,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-24,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-25,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-26,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-27,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-28,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-07-31,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-01,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-02,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-03,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-04,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-07,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-08,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-09,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-10,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-11,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-14,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-15,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-16,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-17,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-18,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-21,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-22,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-23,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-24,297.5,297.5,297.5,297.5,253.92677307128906,0
2000-08-25,311.25,311.25,311.25,311.25,265.6629943847656,2800
2000-08-28,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-08-29,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-08-30,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-08-31,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-01,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-04,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-05,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-06,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-07,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-08,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-11,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-12,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-13,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-14,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-15,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-18,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-19,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-20,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-21,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-22,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-25,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-26,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-27,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-28,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-09-29,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-02,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-03,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-04,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-05,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-06,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-09,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-10,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-11,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-12,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-13,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-16,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-17,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-18,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-19,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-20,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-23,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-24,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-25,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-26,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-27,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-30,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-10-31,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-01,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-02,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-03,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-06,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-07,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-08,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-09,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-10,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-13,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-14,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-15,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-16,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-17,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-20,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-21,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-22,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-23,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-24,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-27,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-28,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-29,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-11-30,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-01,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-04,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-05,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-06,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-07,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-08,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-11,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-12,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-13,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-14,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-15,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-18,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-19,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-20,311.25,311.25,311.25,311.25,265.6629943847656,0
2000-12-21,327.0,327.0,327.0,327.0,279.1061096191406,8400
2000-12-22,327.0,327.0,327.0,327.0,279.1061096191406,0
2000-12-25,327.0,327.0,327.0,327.0,279.1061096191406,0
2000-12-26,327.0,327.0,327.0,327.0,279.1061096191406,0
2000-12-27,327.0,327.0,327.0,327.0,279.1061096191406,0
2000-12-28,327.0,327.0,327.0,327.0,279.1061096191406,0
2000-12-29,327.0,327.0,327.0,327.0,279.1061096191406,0
